"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"312","2014","Detroit","","http://detroitdh.org/archive/2014_archive/","","2014-09-26","2014-09-26","Detroit","Michigan","64","","Scott Weingart","","n","True","False","2014 Detroit Detroit Network Detroit Network Detroit Network Detroit Network Detroit","2014 - Detroit"
"313","2015","Detroit","","http://detroitdh.org/archive/2015_archive/","","2015-09-25","2015-09-25","Detroit","Michigan","64","","Scott Weingart","","n","True","False","2015 Detroit Detroit Network Detroit Network Detroit Network Detroit Network Detroit","2015 - Detroit"
"314","2016","Detroit","","http://detroitdh.org/archive/2016_archive/","","2016-09-30","2016-09-30","Detroit","Michigan","64","","Scott Weingart","","n","True","False","2016 Detroit Detroit Network Detroit Network Detroit Network Detroit Network Detroit","2016 - Detroit"
"315","2017","Detroit","","http://detroitdh.org/archive/2017_archive/","","2017-10-21","2017-10-21","Detroit","Michigan","64","","Scott Weingart","","n","False","False","2017 Detroit Detroit Network Detroit Network Detroit Network Detroit Network Detroit","2017 - Detroit"
"316","2018","Detroit","","http://detroitdh.org/archive/2018-schedule/","","2018-09-21","2018-09-21","Detroit","Michigan","64","","Scott Weingart","","n","True","True","2018 Detroit Detroit Network Detroit Network Detroit Network Detroit Network Detroit","2018 - Detroit"
"317","2019","Detroit","","http://detroitdh.org/network-detroit-2019/2019-program/","","2019-09-27","2019-09-27","Detroit","Michigan","64","","Scott Weingart","","n","True","True","2019 Detroit Detroit Network Detroit Network Detroit Network Detroit Network Detroit","2019 - Detroit"
"318","2019","Nanyang Technological University","","http://compling.hss.ntu.edu.sg/events/2019-pnc/","Regionality and Digital Humanities: South-South Connections","2019-10-15","2019-10-18","Singapore","","44","","Miguel Escobar Varela","","n","True","False","2019 Nanyang Technological University Singapore Pacific Neighborhood Consortium Pacific Neighborhood Consortium Pacific Neighborhood Consortium Pacific Neighborhood Consortium","2019 - Nanyang Technological University"
"319","2018","George Mason University","","https://crdh.rrchnm.org/conference/2018/","","2018-03-17","2018-03-17","Arlington","Virginia","64","","Scott Weingart","","n","True","False","2018 George Mason University Arlington Institution object (248) Current Research in Digital History CRDH Roy Rosenzweig Center for History and New Media RRCHNM","2018 - George Mason University"
"320","2019","George Mason University","","https://crdh.rrchnm.org/conference/2019/","","2019-03-09","2019-03-09","Arlington","Virginia","64","","Scott Weingart","","n","True","False","2019 George Mason University Arlington Institution object (248) Current Research in Digital History CRDH Roy Rosenzweig Center for History and New Media RRCHNM","2019 - George Mason University"
"321","2009","National Taiwan University","","http://www.dadh-record.digital.ntu.edu.tw/Scope.php?LangType=en&His=D09k2","","2009-12-01","2009-12-02","Taipei","","68","","Scott Weingart","","n","True","False","2009 National Taiwan University Taipei Institution object (509) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2009 - National Taiwan University"
"322","2019","National Taiwan Normal University","","https://dadh2019.conf.tw/site/page.aspx?pid=901&sid=1308&lang=en","","2019-12-03","2019-12-06","Taipei","","68","","Scott Weingart","","n","True","False","2019 National Taiwan Normal University Taipei International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2019 - National Taiwan Normal University"
"323","2010","National Taiwan University","","http://www.dadh-record.digital.ntu.edu.tw/Scope.php?LangType=en&His=Y10k2","","2010-11-29","2010-11-30","Taipei","","68","","Scott Weingart","","n","True","True","2010 National Taiwan University Taipei Institution object (509) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2010 - National Taiwan University"
"324","2011","National Taiwan University","","http://www.dadh-record.digital.ntu.edu.tw/Scope.php?LangType=en&His=MMXXI","","2011-12-01","2011-12-02","Taipei","","68","","Scott Weingart","","n","True","True","2011 National Taiwan University Taipei Institution object (509) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2011 - National Taiwan University"
"325","2012","National Taiwan University","","http://www.dadh-record.digital.ntu.edu.tw/Scope.php?LangType=en&His=MKOOO","","2012-11-29","2012-11-30","Taipei","","68","","Scott Weingart","","n","True","True","2012 National Taiwan University Taipei Institution object (509) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2012 - National Taiwan University"
"326","2014","National Taiwan University","","http://www.dadh-record.digital.ntu.edu.tw/Scope.php?LangType=en&His=EKALM","Crossover & Transformation","2014-12-01","2014-12-02","Taipei","","68","","Scott Weingart","","n","True","True","2014 National Taiwan University Taipei Institution object (509) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2014 - National Taiwan University"
"327","2015","National Taiwan University","","http://dadh-2015.digital.ntu.edu.tw/en/","Focusing on East Asia","2015-11-30","2015-12-02","Taipei","","68","","Scott Weingart","","n","True","True","2015 National Taiwan University Taipei Institution object (509) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2015 - National Taiwan University"
"328","2016","National Taiwan University","","http://www.dadh-record.digital.ntu.edu.tw/Scope.php?LangType=en&His=BHUGF","","2016-12-01","2016-12-03","Taipei","","68","","Scott Weingart","","n","False","False","2016 National Taiwan University Taipei Institution object (509) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2016 - National Taiwan University"
"329","2017","National Chengchi University","","http://www.aiecon.org/conference/DADH2017/","Digital Humanities Evolving: Past, Present, and Future","2017-11-29","2017-12-01","Taipei","","68","","Scott Weingart","","n","True","True","2017 National Chengchi University Taipei Institution object (480) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2017 - National Chengchi University"
"330","2018","Dharma Drum Institute of Liberal Arts","","http://dadh2018.dila.edu.tw/?lang=en","Facing the Era of AI+DH","2018-12-18","2018-12-21","New Taipei City","","68","","Scott Weingart","","n","True","True","2018 Dharma Drum Institute of Liberal Arts New Taipei City Institution object (1533) International Conference of Digital Archives and Digital Humanities DADH Taiwanese Association for Digital Humanities TADH","2018 - Dharma Drum Institute of Liberal Arts"
"331","2001","Pisa","","https://tei-c.org/Vault/MembersMeetings/2001-info/","","2001-11-16","2001-11-17","Pisa","","26","","Scott Weingart","~45 (https://tei-c.org/Vault/MembersMeetings/2001-info/mm08.html)","n","True","True","2001 Pisa Pisa Text Encoding Initiative TEI Text Encoding Initiative TEI","2001 - Pisa"
"332","2010","University of Zadar","","https://tei-c.org/Vault/MembersMeetings/2010-info/","TEI Applied: Digital Texts and Language Resources","2010-11-08","2010-11-14","Zadar","","61","http://web.archive.org/web/20110711090529/http://ling.unizd.hr/~tei2010/
http://web.archive.org/web/20101030005732/http://ling.unizd.hr:80/~tei2010/program/index.en.html","Scott Weingart","","n","True","False","2010 University of Zadar Zadar Text Encoding Initiative TEI Text Encoding Initiative TEI","2010 - University of Zadar"
"333","2011","University of Würzburg","","https://tei-c.org/Vault/MembersMeetings/2011-info/","Philology in the Digital Age","2011-10-10","2011-10-16","Würzburg","","4","","Scott Weingart","","n","True","False","2011 University of Würzburg Würzburg Text Encoding Initiative TEI Text Encoding Initiative TEI","2011 - University of Würzburg"
"334","2012","Texas A&M University","","https://tei-c.org/Vault/MembersMeetings/2012-info/","TEI and the C(r|l)o(w|u)d","2012-11-07","2012-11-10","College Station","","","","Scott Weingart","","n","True","False","2012 Texas A&M University College Station Institution object (728) Text Encoding Initiative TEI Text Encoding Initiative TEI","2012 - Texas A&M University"
"335","2013","Università La Sapienza","","https://tei-c.org/Vault/MembersMeetings/2013-info/","The Linked TEI: Text Encoding in the Web","2013-10-02","2013-10-05","Rome","","26","","Scott Weingart","","n","True","True","2013 Università La Sapienza Rome Text Encoding Initiative TEI Text Encoding Initiative TEI","2013 - Università La Sapienza"
"336","2014","Northwestern University","","https://tei-c.org/Vault/MembersMeetings/2014-info/","Decoding the Encoded","2014-10-22","2014-10-24","Evanston","Illinois","64","","Scott Weingart","","n","True","False","2014 Northwestern University Evanston Institution object (547) Text Encoding Initiative TEI Text Encoding Initiative TEI","2014 - Northwestern University"
"337","2015","Lyon","","https://tei-c.org/Vault/MembersMeetings/2015-info/","Connect, Animate, Innovate","2015-10-26","2015-10-31","Lyon","","2","","Scott Weingart","","n","True","True","2015 Lyon Lyon Text Encoding Initiative TEI Text Encoding Initiative TEI","2015 - Lyon"
"338","2016","Austrian Academy of Sciences","","https://tei-c.org/Vault/MembersMeetings/2016-info/","","2016-09-26","2016-09-30","Vienna","","5","","Scott Weingart","","n","True","True","2016 Austrian Academy of Sciences Vienna Institution object (44) Text Encoding Initiative TEI Text Encoding Initiative TEI","2016 - Austrian Academy of Sciences"
"339","2017","University of Victoria","","https://tei-c.org/Vault/MembersMeetings/2017/schedule.php.html","Pedagogy and Praxis","2017-11-11","2017-11-15","Victoria","","13","","Scott Weingart","","n","True","True","2017 University of Victoria Victoria Institution object (1120) Text Encoding Initiative TEI Text Encoding Initiative TEI","2017 - University of Victoria"
"340","2018","University of Tokyo","","https://tei-c.org/Vault/MembersMeetings/2018-info/","TEI as a Global Language","2018-09-09","2018-09-13","Tokyo","","17","","Scott Weingart","","n","True","True","2018 University of Tokyo Tokyo Institution object (1108) Text Encoding Initiative TEI Text Encoding Initiative TEI","2018 - University of Tokyo"
"341","2019","University of Graz","","https://graz-2019.tei-c.org/","What is text, really? TEI and beyond","2019-09-16","2019-09-20","Graz","","5","","Scott Weingart","","n","True","True","2019 University of Graz Graz Karl-Franzens Universität Graz (University of Graz) Text Encoding Initiative TEI Text Encoding Initiative TEI","2019 - University of Graz"
